label	pid	rss_kib	parent_bytes	run_id	run_bytes	status
baseline	3506850	790284	0	none	0	none
01-long-single	3506850	313532	23580	run-c930cb19-d276-4cf2-9496-15ade6067720	55814	completed
02-short	3506850	318852	51962	run-875851d6-f311-42ab-9d95-58bb9cd355e0	34165	completed
03-short	3506850	336648	83668	run-982157b1-0a72-43dc-999c-4fa6c17366d9	36689	completed
04-short	3506850	325620	110018	run-e8aad9bf-7006-45fb-9216-7bcfbbc202d6	31648	completed
05-short	3506850	328576	146093	run-ef3dc0e2-0d33-4869-b6e8-bbf3b7744510	42606	completed
06-parallel	3506850	256196	355766	run-908b8d9a-6861-4430-8567-11a3e020dd2f	328092	completed
07-short	3506850	315032	387758	run-df341462-407a-47ac-b222-f956275e28ca	36839	completed
08-chain	3506850	332656	521442	run-36a047be-d81a-4301-860c-b9843533ca38	241919	completed
09-background-running	3506850	317892	525715	run-07b5af2c-1dad-4033-83ed-6ac640e1c311	2127	running
10-resume	3534711	243420	574215	run-07b5af2c-1dad-4033-83ed-6ac640e1c311	33999	completed
